cluster,stock_1,stock_2,pvalue,beta,spread_std
0,BANDHANBNK,FEDERALBNK,4.966713563259398e-05,-1.1383925610419796,24.842424568391273
0,MARICO,BALKRISIND,6.835375417888465e-05,0.15638806363754384,28.796116215233898
0,KOTAKBANK,NMDC,0.0001468558324480208,-0.3439200280240592,17.133151225994254
0,KOTAKBANK,JINDALSTEL,0.00021570329985477735,-0.02438996566088751,17.509307296655837
0,KOTAKBANK,DRREDDY,0.00023588647993365107,-0.02587854419550557,17.791564146833178
0,KOTAKBANK,GAIL,0.0002459886863444025,-0.10123161891950441,17.66305364038831
0,KOTAKBANK,IRB,0.0002461289743679738,-0.2664711219587298,17.700319767175674
0,KOTAKBANK,SAIL,0.0002661899054409251,-0.19352829207032518,17.67572495576384
0,KOTAKBANK,UPL,0.00026630984164204696,0.04264390182015743,17.879763172387026
0,KOTAKBANK,AUROPHARMA,0.0002713004009764441,-0.014206314190522158,17.831485272447114
0,KOTAKBANK,NCC,0.00027313555283958973,-0.05283868059985374,17.719319770672502
0,KOTAKBANK,PFC,0.00027729393123516875,-0.031248152716174007,17.672355615286886
0,KOTAKBANK,MARUTI,0.0002793233974251391,-0.002195574487627767,17.85399352252287
0,KOTAKBANK,NBCC,0.0002804673497758636,-0.1386857467252987,17.787805273295504
0,KOTAKBANK,POWERGRID,0.0002887221129238355,-0.06477432907054803,17.679014574024823
0,KOTAKBANK,COALINDIA,0.0002921065991063618,-0.03927771542078652,17.68871370980824
0,KOTAKBANK,BAJAJ-AUTO,0.0002970465505009323,-0.0017883557369741674,17.788090866858006
0,KOTAKBANK,CIPLA,0.00030051725268445705,-0.02014163895378757,17.65036549470467
0,KOTAKBANK,NTPC,0.0003030989795965395,-0.045503152498913284,17.730214698901843
0,KOTAKBANK,SIEMENS,0.00030552805671349523,-0.004107075400717676,17.813621215674864
0,KOTAKBANK,LT,0.00030854752718885003,-0.0050827992986047605,17.836649252368513
0,KOTAKBANK,HEROMOTOCO,0.0003089286090093538,-0.003690902121543011,17.921847105907442
0,KOTAKBANK,ALKYLAMINE,0.00031274633386836197,0.006910038607256686,17.85674956336835
0,KOTAKBANK,LUPIN,0.0003181785936932195,-0.009320454833696276,17.814388882248192
0,KOTAKBANK,ASHOKA,0.0003184917694360226,-0.06337518969925122,17.965457795746218
0,KOTAKBANK,M&M,0.00032206728950034036,-0.005631879383827679,17.89349427477242
0,KOTAKBANK,IOC,0.00032287607912501366,-0.11289246787586996,17.77892712853687
0,KOTAKBANK,JSWSTEEL,0.00032737830486425024,-0.031217083956730885,17.772745642410182
0,KOTAKBANK,TATASTEEL,0.0003288015272604286,-0.18241664994558707,17.69317318470808
0,BANDHANBNK,EICHERMOT,0.00033449596543289615,-0.051142195361781474,29.641761291899062
0,KOTAKBANK,RATNAMANI,0.0003345797205803709,-0.00530318142387983,17.771849850673703
0,KOTAKBANK,TVSMOTOR,0.00033716184275173466,-0.00595575984517266,17.831705451298447
0,KOTAKBANK,ADANIPORTS,0.00033835205369158974,-0.013980327196090924,17.902363570190605
0,KOTAKBANK,COLPAL,0.00034319815738150487,-0.0066356974624192,17.830224650365757
0,KOTAKBANK,GLENMARK,0.00034352925533964095,-0.00997513437271365,17.92216709568266
