Entry Date,Exit Date,Direction,Stock1,Stock2,Entry_S1_Price,Exit_S1_Price,Entry_S2_Price,Exit_S2_Price,Beta,Gross Return,Net Return,Holding Days,pair_id,Equity Curve
2025-01-30,2025-02-04,Short Spread,ESCORTS,LT,3559.929931640625,3272.3359375,3389.33984375,3407.37158203125,1.0221053973555223,0.0862241563753732,0.0814641563753732,5,ESCORTS-LT,0.0814641563753732
2025-06-11,2025-07-03,Long Spread,ESCORTS,LT,3195.520263671875,3348.10009765625,3684.800048828125,3582.89990234375,1.0221053973555223,0.07601353436958294,0.07125353436958294,22,ESCORTS-LT,0.15271769074495614
2025-09-08,2025-09-26,Short Spread,ESCORTS,LT,3772.300048828125,3543.699951171875,3529.60009765625,3729.5,1.0221053973555223,0.11848688827449716,0.11372688827449716,18,ESCORTS-LT,0.2664445790194533
2025-01-13,2025-01-28,Long Spread,BALKRISIND,DEEPAKNTR,2579.855712890625,2689.579345703125,2318.25634765625,2184.80859375,0.7903968566199697,0.08802920219442338,0.08326920219442338,15,BALKRISIND-DEEPAKNTR,0.34971378121387664
2025-05-07,2025-05-19,Short Spread,BALKRISIND,DEEPAKNTR,2759.75537109375,2678.03857421875,1978.2135009765625,2109.76904296875,0.7903968566199697,0.08217328624137737,0.07741328624137737,12,BALKRISIND-DEEPAKNTR,0.42712706745525403
2025-07-18,2025-08-06,Short Spread,BALKRISIND,DEEPAKNTR,2736.6357421875,2396.098388671875,1940.8680419921875,1812.5,0.7903968566199697,0.07216003973462454,0.06740003973462454,19,BALKRISIND-DEEPAKNTR,0.4945271071898786
2025-02-01,2025-02-05,Short Spread,UBL,BALKRISIND,2224.3427734375,2047.9013671875,2740.94384765625,2811.711669921875,0.5039851409687127,0.09233521980827307,0.08757521980827307,4,UBL-BALKRISIND,0.5821023269981517
2025-04-09,2025-05-13,Short Spread,UBL,BALKRISIND,1991.4920654296875,2025.1685791015625,2269.952880859375,2683.51318359375,0.5039851409687127,0.07491032492975362,0.07015032492975362,34,UBL-BALKRISIND,0.6522526519279053
2025-09-22,2025-09-29,Long Spread,UBL,BALKRISIND,1774.9000244140625,1794.800048828125,2531.66650390625,2282.393310546875,0.5039851409687127,0.06083534679508091,0.05607534679508091,7,UBL-BALKRISIND,0.7083279987229861
2025-04-07,2025-04-17,Long Spread,CIPLA,COALINDIA,1370.064453125,1499.18505859375,357.3658142089844,377.5771179199219,1.9248712029455375,-0.014619493459926233,-0.019379493459926234,10,CIPLA-COALINDIA,0.68894850526306
2025-05-20,2025-06-10,Long Spread,CIPLA,COALINDIA,1439.02783203125,1494.8316650390625,386.333740234375,378.23974609375,1.9248712029455375,0.07910639984937641,0.07434639984937641,21,CIPLA-COALINDIA,0.7632949051124364
2025-07-28,2025-08-06,Short Spread,CIPLA,COALINDIA,1572.0,1486.699951171875,358.17047119140625,361.996826171875,1.9248712029455375,0.07482562324229666,0.07006562324229666,9,CIPLA-COALINDIA,0.8333605283547331
2025-08-21,2025-09-22,Short Spread,CIPLA,COALINDIA,1592.800048828125,1542.199951171875,368.1743469238281,384.2877807617188,1.9248712029455375,0.11601148675017116,0.11125148675017116,32,CIPLA-COALINDIA,0.9446120151049042
2025-10-20,2025-10-31,Short Spread,CIPLA,COALINDIA,1639.0999755859375,1501.300048828125,380.2959289550781,378.3973693847656,1.9248712029455375,0.07446090704422476,0.06970090704422476,11,CIPLA-COALINDIA,1.014312922149129
2025-01-01,2025-02-04,Long Spread,PIDILITIND,TATACHEM,1422.090576171875,1453.5001220703125,1026.5059814453125,907.9793701171876,1.1215222268030036,0.1515846451507305,0.14682464515073052,34,PIDILITIND-TATACHEM,1.1611375672998594
2025-05-13,2025-05-28,Short Spread,PIDILITIND,TATACHEM,1539.7333984375,1490.272705078125,827.2151489257812,885.4899291992188,1.1215222268030036,0.11113070926182442,0.10637070926182442,15,PIDILITIND-TATACHEM,1.2675082765616839
2025-07-29,2025-08-06,Long Spread,PIDILITIND,TATACHEM,1446.449951171875,1520.9000244140625,1000.0,949.5499877929688,1.1215222268030036,0.1080517048132794,0.1032917048132794,8,PIDILITIND-TATACHEM,1.3707999813749632
2025-04-07,2025-04-28,Long Spread,CIPLA,POWERGRID,1370.064453125,1538.6634521484375,283.3868408203125,302.1389465332031,3.133105594128893,-0.08426282912425839,-0.08902282912425839,21,CIPLA-POWERGRID,1.2817771522507049
2025-08-28,2025-09-23,Short Spread,CIPLA,POWERGRID,1580.300048828125,1527.0999755859375,269.90948486328125,283.82537841796875,3.133105594128893,0.195200040692023,0.19044004069202303,26,CIPLA-POWERGRID,1.472217192942728
2025-10-20,2025-10-31,Short Spread,CIPLA,POWERGRID,1639.0999755859375,1501.300048828125,283.4320068359375,283.3828125,3.133105594128893,0.08352668052254363,0.07876668052254363,11,CIPLA-POWERGRID,1.5509838734652714
2025-04-07,2025-04-17,Long Spread,CIPLA,PFC,1370.064453125,1499.18505859375,385.6750183105469,413.6451110839844,1.4855242770962904,-0.013489659626073444,-0.018249659626073444,10,CIPLA-PFC,1.532734213839198
2025-08-28,2025-09-23,Short Spread,CIPLA,PFC,1580.300048828125,1527.0999755859375,377.89447021484375,408.7298583984375,1.4855242770962904,0.15488017325325404,0.15012017325325405,26,CIPLA-PFC,1.682854387092452
2025-10-20,2025-10-31,Short Spread,CIPLA,PFC,1639.0999755859375,1501.300048828125,393.9308776855469,399.1773376464844,1.4855242770962904,0.10385502925497223,0.09909502925497223,11,CIPLA-PFC,1.781949416347424
2025-01-16,2025-02-13,Long Spread,CIPLA,ONGC,1428.2430419921875,1456.5902099609375,250.5537872314453,228.1312255859375,3.5646150249375568,0.3388521379061405,0.3340921379061405,28,CIPLA-ONGC,2.1160415542535644
2025-08-22,2025-09-25,Short Spread,CIPLA,ONGC,1592.800048828125,1509.699951171875,229.43234252929688,233.9374084472656,3.5646150249375568,0.12216606592336642,0.11740606592336642,34,CIPLA-ONGC,2.2334476201769307
2025-10-20,2025-10-30,Short Spread,CIPLA,ONGC,1639.0999755859375,1540.0999755859375,242.79046630859372,248.4419708251953,3.5646150249375568,0.14337358423628968,0.13861358423628967,10,CIPLA-ONGC,2.37206120441322
2025-03-28,2025-04-24,Long Spread,CIPLA,NTPC,1426.9566650390625,1535.29931640625,351.0355834960937,356.53277587890625,2.321309248160626,0.0395741388993889,0.0348141388993889,27,CIPLA-NTPC,2.406875343312609
2025-08-25,2025-09-23,Short Spread,CIPLA,NTPC,1601.199951171875,1527.0999755859375,331.64813232421875,340.11236572265625,2.321309248160626,0.10552160087044517,0.10076160087044517,29,CIPLA-NTPC,2.507636944183054
2025-10-20,2025-10-30,Short Spread,CIPLA,NTPC,1639.0999755859375,1540.0999755859375,339.0711975097656,342.2442321777344,2.321309248160626,0.08212185612121063,0.07736185612121063,10,CIPLA-NTPC,2.5849988003042648
2025-01-01,2025-01-13,Long Spread,TATACONSUM,NMDC,913.5294189453124,958.3472900390624,62.89528274536133,57.19485855102539,8.273363494585846,0.7989046224402148,0.7941446224402148,12,TATACONSUM-NMDC,3.3791434227444794
2025-03-19,2025-04-02,Long Spread,TATACONSUM,NMDC,942.862060546875,1054.8818359375,65.56436920166016,69.2426528930664,8.273363494585846,-0.34534292691759083,-0.3501029269175908,14,TATACONSUM-NMDC,3.0290404958268886
2025-04-25,2025-05-29,Short Spread,TATACONSUM,NMDC,1147.1976318359375,1109.800048828125,64.05512237548828,71.29399871826172,8.273363494585846,0.9675727840723556,0.9628127840723556,34,TATACONSUM-NMDC,3.991853279899244
2025-01-31,2025-03-04,Long Spread,AXISBANK,NESTLEIND,985.2579345703124,1000.944580078125,1144.428466796875,1068.75634765625,1.0520381972835349,0.08548443120165727,0.08072443120165727,32,AXISBANK-NESTLEIND,4.072577711100902
2025-06-18,2025-06-30,Short Spread,AXISBANK,NESTLEIND,1219.9573974609375,1198.1759033203125,1165.4996337890625,1227.489013671875,1.0520381972835349,0.07380901843939408,0.06904901843939408,12,AXISBANK-NESTLEIND,4.141626729540295
2025-09-02,2025-09-19,Long Spread,AXISBANK,NESTLEIND,1056.199951171875,1135.9000244140625,1200.9000244140625,1194.5,1.0520381972835349,0.0810659528282967,0.0763059528282967,17,AXISBANK-NESTLEIND,4.217932682368592
