cluster,stock_1,stock_2,pvalue,beta,spread_std
0,BANDHANBNK,FEDERALBNK,4.96670602856126e-05,-1.1383925665281553,24.842425133261585
0,MARICO,BALKRISIND,6.83540081405873e-05,0.15638805658004054,28.796118291765087
0,KOTAKBANK,NMDC,0.00014685659123088197,-1.7196000422758912,85.66575433678668
0,KOTAKBANK,JINDALSTEL,0.0002157042736576801,-0.12194981932262242,87.54653470323906
0,KOTAKBANK,DRREDDY,0.0002358874735616454,-0.12939270828695543,88.95781891405845
0,KOTAKBANK,GAIL,0.00024598964708921257,-0.506158051119211,88.31526636977418
0,KOTAKBANK,IRB,0.0002461301046780451,-1.332355421164212,88.50159723007326
0,KOTAKBANK,SAIL,0.00026619120583230393,-0.9676414211465637,88.37862257976822
0,KOTAKBANK,UPL,0.00026631084966765244,0.21321952214380988,89.3988131426957
0,KOTAKBANK,AUROPHARMA,0.00027130141201860613,-0.07103156790955352,89.15742417194363
0,KOTAKBANK,NCC,0.0002731366478883815,-0.2641933841541144,88.5965969042232
0,KOTAKBANK,PFC,0.0002772951021396135,-0.15624075233924642,88.36177624885326
0,KOTAKBANK,MARUTI,0.0002793244978279401,-0.010977871803751454,89.26996554248717
0,KOTAKBANK,NBCC,0.00028046858303822254,-0.6934286636115995,88.93902453346027
0,KOTAKBANK,POWERGRID,0.00028872336029289107,-0.3238716236916168,88.39507098797975
0,KOTAKBANK,COALINDIA,0.000292107834349624,-0.19638855044499975,88.44356699298116
0,KOTAKBANK,BAJAJ-AUTO,0.00029704775390658315,-0.00894177754420103,88.94045263224211
0,KOTAKBANK,CIPLA,0.00030051838895317186,-0.10070817955040341,88.25182609466268
0,KOTAKBANK,NTPC,0.000303100259939533,-0.2275157350684304,88.65107184323851
0,KOTAKBANK,SIEMENS,0.00030552927285924406,-0.020535375621017767,89.06810404968122
0,KOTAKBANK,LT,0.00030854880992206584,-0.025413994521850607,89.18324425916416
0,KOTAKBANK,HEROMOTOCO,0.00030892974322725296,-0.01845450815557563,89.60923372617093
0,KOTAKBANK,ALKYLAMINE,0.00031274753401218326,0.034550196215907096,89.28374503737265
0,KOTAKBANK,LUPIN,0.00031817981061891827,-0.04660227056782358,89.07194242447494
0,KOTAKBANK,ASHOKA,0.0003184929851675963,-0.3168759348866234,89.82728676631409
0,KOTAKBANK,M&M,0.0003220685482473216,-0.028159394068609116,89.46746942111714
0,KOTAKBANK,IOC,0.00032287742283559895,-0.5644622683651047,88.8946339372778
0,KOTAKBANK,JSWSTEEL,0.00032737985433938985,-0.1560854032882229,88.86372637845994
0,KOTAKBANK,TATASTEEL,0.0003288029606847632,-0.9120831143904155,88.46586448714199
0,BANDHANBNK,EICHERMOT,0.0003344954389468391,-0.05114219647221124,29.64176177093819
0,KOTAKBANK,RATNAMANI,0.0003345811114120601,-0.02651590459404066,88.85924738498618
0,KOTAKBANK,TVSMOTOR,0.0003371632128970598,-0.02977879536918424,89.15852551162035
0,KOTAKBANK,ADANIPORTS,0.0003383534901832181,-0.06990162039221265,89.51181643082849
0,KOTAKBANK,COLPAL,0.00034319957070527067,-0.03317848124367404,89.15112180992217
0,KOTAKBANK,GLENMARK,0.000343530635651822,-0.04987566748657896,89.61083347943975
0,KOTAKBANK,SUNPHARMA,0.0003437525632389445,-0.061053472406601604,88.80499396623031
0,KOTAKBANK,FEDERALBNK,0.00034531923149906614,-0.46389579754860305,89.87459033467779
0,KOTAKBANK,ESCORTS,0.00034835801449953623,-0.022229749416788683,89.47275928983763
0,KOTAKBANK,ONGC,0.000353025086903974,-0.349527206446792,88.82253762123646
0,KOTAKBANK,DLF,0.0003538580211279018,-0.08674437265886394,89.75930873998594
0,BANDHANBNK,APLAPOLLO,0.0003656532847220287,-0.12512687310033827,25.983548375885842
0,KOTAKBANK,AARTIIND,0.0003680717141771561,0.12232764619021885,89.28647485501291
0,BANDHANBNK,MARUTI,0.00037133637858259284,-0.02175023881931412,29.343795964720634
0,KOTAKBANK,KEC,0.0003727054056850808,-0.08937747442251026,89.91255737723834
0,KOTAKBANK,DABUR,0.00037393658665481675,0.5225421403296652,89.68676100661962
0,KOTAKBANK,APLAPOLLO,0.0003765640927798004,-0.07076496277412343,88.32007533703472
0,KOTAKBANK,EICHERMOT,0.00037997090846568683,-0.019644954183779127,90.28615726932429
0,KOTAKBANK,BPCL,0.00038040850756390485,-0.3165769179425565,89.64640478430903
0,KOTAKBANK,VEDL,0.00038392209524765604,-0.18335179573460178,89.91527798780592
0,KOTAKBANK,TATAPOWER,0.00038412483459281745,-0.16833705353185646,89.80337674648409
0,KOTAKBANK,TORNTPHARM,0.00038817909204212137,-0.030462311102294963,89.32549417741787
0,KOTAKBANK,CHOLAFIN,0.00040406958555883483,-0.05386162037315313,90.00429293800113
0,KOTAKBANK,HINDPETRO,0.00040526262627726864,-0.20285323185655638,89.92936268392074
0,KOTAKBANK,NAVINFLUOR,0.0004057798317104793,0.02666570845741073,90.4795104861032
0,KOTAKBANK,ALKEM,0.00041751873644305294,-0.017013942829100917,90.05411005646184
0,KOTAKBANK,HINDALCO,0.0004182659144981412,-0.1421861093851168,90.2086109154632
0,KOTAKBANK,BAJAJFINSV,0.00041930132950329326,0.08538027933610746,89.29993223663743
0,KOTAKBANK,ASHOKLEY,0.0004237863434962202,-0.7862206369502064,90.34161811287112
0,KOTAKBANK,TATACONSUM,0.0004273812501615165,-0.09763896416220579,90.04760237907148
0,TCS,HINDPETRO,0.0004393175338652735,4.5182068834775615,163.53838863617406
0,KOTAKBANK,BAJFINANCE,0.0004479100192152723,0.3079074604593042,88.63055066289876
0,KOTAKBANK,ITC,0.0004539909561022401,-0.15567137997889105,90.16693663971343
0,KOTAKBANK,IDFCFIRSTB,0.0004555821630313475,-0.8005291655506523,90.67026292594643
0,KOTAKBANK,GNFC,0.0004749717792188495,-0.11288031862914118,90.20103035398377
0,KOTAKBANK,NESTLEIND,0.00047955683405737456,-0.07587246998207044,90.82926950677657
0,KOTAKBANK,BRITANNIA,0.0004909252563722342,-0.015734847405287352,90.70447741021383
0,KOTAKBANK,BALKRISIND,0.0004975167684356336,-0.0287004953151285,90.93694323216742
0,KOTAKBANK,MUTHOOTFIN,0.0005185311632283135,-0.025587148845563998,91.32176216929503
0,KOTAKBANK,BALRAMCHIN,0.0005225976830838909,-0.1890754158053219,89.96355537626674
0,KOTAKBANK,SBILIFE,0.000545987704979909,-0.040189448428698954,91.19039131514462
0,KOTAKBANK,GODREJCP,0.0005461299168173446,-0.06852296437387974,90.57329947418691
0,KOTAKBANK,HINDUNILVR,0.0005536497801721678,0.06586380521850164,90.7379351637584
0,KOTAKBANK,INDUSINDBK,0.0005583709091129943,-0.022232239011146772,91.4884879746941
0,KOTAKBANK,MARICO,0.0005887383118965702,-0.10022277312945918,91.38031332173686
0,KOTAKBANK,PIDILITIND,0.000589190030517504,-0.032868324389639714,91.4113023962415
0,KOTAKBANK,UBL,0.0006053328662434333,-0.027766690487219463,91.39385905742725
0,BANDHANBNK,LT,0.0006133974591256457,-0.0517863512429485,26.45478662367661
0,KOTAKBANK,SRF,0.0006295461666706044,0.006747413656733185,91.58926023152122
0,KOTAKBANK,TATACHEM,0.0006331310942653993,-0.02849632599048398,91.53479384733274
0,KOTAKBANK,DEEPAKNTR,0.0006340392561229641,0.004450044566881506,91.6157986629689
0,BAJAJ-AUTO,GAIL,0.000644112426719523,50.16808072104074,464.552986043821
0,KOTAKBANK,ADANIGREEN,0.0006445037845523022,-0.00049236821164864,91.63253815946784
0,KOTAKBANK,MANAPPURAM,0.0006540640737130178,0.019416048264923016,91.63047985004685
0,KOTAKBANK,DIVISLAB,0.0006639914582397501,0.006203882631634111,91.51243082437313
0,KOTAKBANK,ICICIPRULI,0.0006837352140975936,0.04958373611968353,91.53077333683383
0,AXISBANK,BRITANNIA,0.0007023588470689875,0.2062433026884522,61.78456978489747
0,KOTAKBANK,HDFCLIFE,0.000742185870743161,0.3248595151700713,88.9836856759907
0,KOTAKBANK,BANDHANBNK,0.0007576770770008519,0.5673828095355506,87.0586672246938
0,KOTAKBANK,BIOCON,0.0008064645611436691,0.16433989776333408,91.12751645011944
0,BANDHANBNK,ITC,0.0009418107014398945,-0.41352474347711804,25.660029581396923
0,BANDHANBNK,JSWSTEEL,0.0009672984290886604,-0.2926312644566585,27.967634393438647
0,BANDHANBNK,JINDALSTEL,0.0009754412337630932,-0.18953586752553173,27.755596473511304
0,ADANIPORTS,NBCC,0.0011003959551657435,8.394272539767185,85.73072433676609
0,BANDHANBNK,BRITANNIA,0.0012005960799862864,-0.05035872224399548,28.374110901421183
0,BANDHANBNK,SUNPHARMA,0.00122631664327862,-0.11541908778246639,26.74798142539438
0,BANDHANBNK,TVSMOTOR,0.0018210019136151218,-0.05909138805200902,27.8849031170165
0,BANDHANBNK,ESCORTS,0.0018539052612387625,-0.04603792387615226,29.34464741476223
0,AXISBANK,RATNAMANI,0.001971449665199293,0.2042729347681611,56.47825122469455
0,BANDHANBNK,RATNAMANI,0.0020258917599462684,-0.05000654788463572,27.541000850711615
0,BANDHANBNK,M&M,0.0024855199881429284,-0.05745751024029863,30.10534469852319
0,HEROMOTOCO,ADANIPORTS,0.002584677475989667,3.470297803664281,360.497039720051
0,BANDHANBNK,SIEMENS,0.002764418145707759,-0.03903916931987991,29.395008364343596
0,TCS,ALKEM,0.002882942015149238,0.3951367740258266,159.60017331688616
0,BANDHANBNK,TORNTPHARM,0.002925159388289185,-0.05948451407460062,30.77162160412366
0,JINDALSTEL,ONGC,0.0030318828247828454,3.266925133794827,70.20877836075618
0,BANDHANBNK,PIDILITIND,0.003046089398582485,-0.2056468374416375,30.844183442065226
0,TATASTEEL,ONGC,0.00326810040462544,0.3543857029625736,12.817765008293879
0,RATNAMANI,CHOLAFIN,0.0032696519230896648,2.5401887977117843,232.5520401669318
0,BANDHANBNK,COALINDIA,0.003336559346279754,-0.3381853147412111,28.91307641092183
0,BANDHANBNK,IRB,0.003349867743771835,-2.249872197440702,30.506207451304945
0,BANDHANBNK,DLF,0.0033612211828781316,-0.18777867122879124,30.76462740326039
0,JSWSTEEL,ONGC,0.003406625908514619,1.892073724497347,75.20035253423755
0,BAJAJ-AUTO,NBCC,0.0035496149203829972,74.95796349862295,629.7747793939865
0,BANDHANBNK,NTPC,0.003825449151864875,-0.4025119860353053,29.26546442631755
0,BPCL,NBCC,0.004022100937068482,1.8351544396407153,13.644521525071733
0,BANDHANBNK,POWERGRID,0.0040943715328889164,-0.5475485119442619,29.54608407291299
0,BANDHANBNK,CHOLAFIN,0.004366469981874539,-0.12588014466105396,30.385757578576655
0,MARUTI,COALINDIA,0.004410472305198816,14.827047614733166,522.8023062812458
0,AXISBANK,BANDHANBNK,0.004494549208012612,-2.952467379815324,103.76787000577467
0,BANDHANBNK,ASHOKLEY,0.004668877117615541,-1.97545037133054,32.490010062651756
0,PIDILITIND,TATACHEM,0.004829635995567937,1.1215222268030036,98.56318967884341
0,BAJAJ-AUTO,NCC,0.005052472125115808,27.1099153447514,564.4019354699951
0,BANDHANBNK,NESTLEIND,0.005234118504103166,-0.2543488692305504,29.85332703762291
0,ASHOKLEY,SIEMENS,0.005295563327631993,0.017697072940357685,5.994581833976473
0,BANDHANBNK,UPL,0.0054517820587333355,0.25318340475956597,44.37089745413901
0,AXISBANK,JINDALSTEL,0.005464343232526494,0.776086028238596,56.98128049555747
0,BANDHANBNK,NCC,0.005485786014239243,-0.4368871298337899,32.28899165092437
0,BANDHANBNK,DRREDDY,0.00553417080309357,-0.19409101308412754,38.10581602517039
0,BANDHANBNK,KEC,0.005625578430811129,-0.19328288162747892,32.83978029990337
0,COLPAL,BAJAJ-AUTO,0.005663316153001606,0.25472863607032115,114.10873645151173
0,TATACHEM,ALKYLAMINE,0.005880863667669399,-0.07440584189646587,141.95887051072404
0,COLPAL,NBCC,0.006102341305959778,19.335491593334236,171.36306449730637
0,BANDHANBNK,CIPLA,0.0061157501506147755,-0.16228844508760004,30.977909481329185
0,TCS,TORNTPHARM,0.006174945974578157,0.5686623472334429,186.22265265638143
0,BANDHANBNK,PFC,0.006198452850217996,-0.24817584564887413,32.45752001804512
0,HEROMOTOCO,GAIL,0.006589662449410629,20.67860114892468,283.7428828828626
0,HEROMOTOCO,NBCC,0.006796849508082922,31.568144525920648,262.29089156188195
0,DRREDDY,NCC,0.0068075498016014,1.7578393420099958,68.0306099324468
0,BANDHANBNK,TATACHEM,0.007099184635621145,-0.24914514287404002,34.14317970366688
0,MARICO,DEEPAKNTR,0.007326215851302937,0.1448482373515035,35.868039262334506
0,UBL,TATAPOWER,0.00735764661014984,2.0222650700954703,94.00073380015708
0,UBL,PIDILITIND,0.007401101190817351,1.1358046132017876,91.15592738100742
0,BRITANNIA,LT,0.007546088804167301,0.9059086293258662,347.73659690287246
0,CIPLA,NTPC,0.007822595000706992,2.321309248160626,63.303622079038945
0,AXISBANK,LT,0.008144771985485627,0.20905321578048222,54.12345936710896
0,TATACHEM,GNFC,0.00830735481388903,0.8600940185026845,83.7123624523059
0,COLPAL,NCC,0.008391202191872742,6.952807426769811,169.0237478959329
0,BANDHANBNK,UBL,0.008394237466666553,-0.15328105924223154,34.72623619743052
0,HCLTECH,PERSISTENT,0.008712762910885206,0.21451340969413063,56.99495139180235
0,ONGC,IOC,0.00902790672879231,1.602657366162816,12.889779540326668
0,SBILIFE,PIDILITIND,0.009343332023868292,1.0567059732009705,90.35686390599975
0,M&M,ASHOKLEY,0.009581344856176338,34.921488548012924,176.003804324001
0,TCS,HINDALCO,0.009584050962082381,3.3367100655260726,193.7952337093236
0,AXISBANK,MARUTI,0.010150222040939218,0.08864701893253207,70.90560245841245
0,BANDHANBNK,ONGC,0.010253967469381354,-0.6182001988182202,30.86396800103126
0,FEDERALBNK,BRITANNIA,0.01048120674952391,0.042129370534735214,16.41538958191514
0,BANDHANBNK,VEDL,0.010911137765840028,-0.3991003203606024,32.58218201286194
0,BANDHANBNK,TATAPOWER,0.011218743851655428,-0.3616734637927698,31.72975906348969
0,BAJFINANCE,BAJAJFINSV,0.011247576626804657,0.28467915523019277,31.873076323678134
0,EICHERMOT,ASHOKLEY,0.011380093367037096,38.66233818886658,258.0907513405806
0,BANDHANBNK,NMDC,0.011507777681051583,-2.0068521518809055,33.13740116118246
0,MARICO,VEDL,0.011726907004425996,0.6072214675274357,34.37413441861672
0,UBL,SBILIFE,0.012035509350494893,0.961913563531097,101.9712376380233
0,BANDHANBNK,GAIL,0.012260904786337012,-0.7760642592664949,33.698405138261634
0,TCS,PFC,0.01234850370784942,2.408402728809743,200.707008805048
0,EICHERMOT,SIEMENS,0.012375958068194904,0.7219799495034178,248.90840886911505
0,DLF,UPL,0.012393400420077916,-1.5460936715014268,154.59686779749595
0,TCS,HCLTECH,0.012686625353190897,1.3675301408597362,136.51085503373696
0,BANDHANBNK,SBILIFE,0.013374488035079152,-0.17463379595943013,31.805692128015
0,FEDERALBNK,EICHERMOT,0.01415266912076486,0.04580046995463418,12.302369917593238
0,TCS,POWERGRID,0.014269186862062369,5.037762691797506,197.86905542308892
0,CIPLA,ADANIPORTS,0.014522559361409311,0.8164678008010222,86.88708596914336
0,MARICO,TORNTPHARM,0.014682487598141735,0.08492078865799499,36.83441253126965
0,GAIL,ADANIPORTS,0.014757969981199244,0.1639267929998718,14.738307649996784
0,TCS,ASHOKA,0.015333951483597773,6.516830413569251,203.97788802819608
0,MARUTI,ESCORTS,0.015574270305510323,2.012217830595477,584.3824239803271
