Entry Date,Exit Date,Direction,Stock1,Stock2,Entry_S1_Price,Exit_S1_Price,Entry_S2_Price,Exit_S2_Price,Beta,Gross Return,Net Return,Holding Days,pair_id,Equity Curve
2025-01-28,2025-01-31,Long Spread,RATNAMANI,UPL,2784.7138671875,2841.928466796875,533.765380859375,598.2750244140625,-5.542620466830843,0.6904141823310966,0.6856541823310967,3,RATNAMANI-UPL,0.6856541823310967
2025-03-13,2025-03-19,Long Spread,RATNAMANI,UPL,2460.6650390625,2602.8310546875,595.9959106445312,640.4391479492188,-5.542620466830843,0.47108699934556125,0.46632699934556127,6,RATNAMANI-UPL,1.1519811816766579
2025-07-21,2025-08-01,Short Spread,RATNAMANI,UPL,2803.056396484375,2565.5498046875,713.75,665.1500244140625,-5.542620466830843,0.462134051820367,0.457374051820367,11,RATNAMANI-UPL,1.609355233497025
2025-01-30,2025-02-04,Short Spread,ESCORTS,LT,3559.929931640625,3272.3359375,3389.33984375,3407.37158203125,1.0221053752782907,0.08622415625791939,0.08146415625791939,5,ESCORTS-LT,1.6908193897549444
2025-06-11,2025-07-03,Long Spread,ESCORTS,LT,3195.520263671875,3348.10009765625,3684.800048828125,3582.89990234375,1.0221053752782907,0.07601353375905506,0.07125353375905506,22,ESCORTS-LT,1.7620729235139994
2025-09-08,2025-09-26,Short Spread,ESCORTS,LT,3772.300048828125,3543.699951171875,3529.60009765625,3729.5,1.0221053752782907,0.11848688702414689,0.11372688702414689,18,ESCORTS-LT,1.8757998105381462
2025-01-13,2025-01-28,Long Spread,BALKRISIND,DEEPAKNTR,2579.85595703125,2689.579833984375,2318.25634765625,2184.80859375,0.7903968616097824,0.08802929309024206,0.08326929309024206,15,BALKRISIND-DEEPAKNTR,1.9590691036283883
2025-05-08,2025-05-19,Short Spread,BALKRISIND,DEEPAKNTR,2733.279541015625,2678.038818359375,1896.3521728515625,2109.76904296875,0.7903968616097824,0.10916226312734074,0.10440226312734074,11,BALKRISIND-DEEPAKNTR,2.063471366755729
2025-07-18,2025-08-06,Short Spread,BALKRISIND,DEEPAKNTR,2736.6357421875,2396.098388671875,1940.8680419921875,1812.5,0.7903968616097824,0.0721600394046008,0.0674000394046008,19,BALKRISIND-DEEPAKNTR,2.1308714061603298
2025-02-01,2025-02-05,Short Spread,UBL,BALKRISIND,2224.3427734375,2047.9013671875,2740.94384765625,2811.711669921875,0.5039851631439832,0.09233522038081148,0.08757522038081147,4,UBL-BALKRISIND,2.2184466265411413
2025-04-09,2025-05-13,Short Spread,UBL,BALKRISIND,1991.4920654296875,2025.1685791015625,2269.952880859375,2683.512939453125,0.5039851631439832,0.07491027476464135,0.07015027476464135,34,UBL-BALKRISIND,2.2885969013057825
2025-09-22,2025-09-29,Long Spread,UBL,BALKRISIND,1774.9000244140625,1794.800048828125,2531.66650390625,2282.393310546875,0.5039851631439832,0.06083534897850455,0.05607534897850455,7,UBL-BALKRISIND,2.344672250284287
2025-04-07,2025-04-17,Long Spread,CIPLA,COALINDIA,1370.064453125,1499.18505859375,357.3658142089844,377.5771179199219,1.92487121441321,-0.014619494108495862,-0.019379494108495862,10,CIPLA-COALINDIA,2.3252927561757915
2025-05-20,2025-06-10,Long Spread,CIPLA,COALINDIA,1439.02783203125,1494.8316650390625,386.3337707519531,378.23974609375,1.92487121441321,0.07910654895497346,0.07434654895497346,21,CIPLA-COALINDIA,2.3996393051307647
2025-07-28,2025-08-06,Short Spread,CIPLA,COALINDIA,1572.0,1486.699951171875,358.17047119140625,361.996826171875,1.92487121441321,0.07482562336480644,0.07006562336480644,9,CIPLA-COALINDIA,2.469704928495571
2025-08-21,2025-09-22,Short Spread,CIPLA,COALINDIA,1592.800048828125,1542.199951171875,368.1743469238281,384.2877807617188,1.92487121441321,0.11601148725206267,0.11125148725206267,32,CIPLA-COALINDIA,2.5809564157476337
2025-10-20,2025-10-31,Short Spread,CIPLA,COALINDIA,1639.0999755859375,1501.300048828125,380.2959289550781,378.3973693847656,1.92487121441321,0.07446090698697445,0.06970090698697445,11,CIPLA-COALINDIA,2.650657322734608
2025-01-01,2025-02-04,Long Spread,PIDILITIND,TATACHEM,1422.090576171875,1453.5001220703125,1026.5059814453125,907.9793701171876,1.121522232777711,0.1515846458406065,0.1468246458406065,34,PIDILITIND-TATACHEM,2.7974819685752146
2025-05-13,2025-05-28,Short Spread,PIDILITIND,TATACHEM,1539.7333984375,1490.272705078125,827.2151489257812,885.4899291992188,1.121522232777711,0.11113070968272429,0.10637070968272429,15,PIDILITIND-TATACHEM,2.903852678257939
2025-07-29,2025-08-06,Long Spread,PIDILITIND,TATACHEM,1446.449951171875,1520.9000244140625,1000.0,949.5499877929688,1.121522232777711,0.10805170511470347,0.10329170511470347,8,PIDILITIND-TATACHEM,3.0071443833726423
2025-04-07,2025-04-28,Long Spread,CIPLA,POWERGRID,1370.064453125,1538.6634521484375,283.3868408203125,302.1389465332031,3.133105546304305,-0.08426282595963816,-0.08902282595963816,21,CIPLA-POWERGRID,2.9181215574130044
2025-08-28,2025-09-23,Short Spread,CIPLA,POWERGRID,1580.300048828125,1527.0999755859375,269.90948486328125,283.82537841796875,3.133105546304305,0.19520003822630055,0.19044003822630057,26,CIPLA-POWERGRID,3.108561595639305
2025-10-20,2025-10-31,Short Spread,CIPLA,POWERGRID,1639.0999755859375,1501.300048828125,283.4320068359375,283.3828125,3.133105546304305,0.08352668053084439,0.07876668053084439,11,CIPLA-POWERGRID,3.1873282761701494
2025-04-07,2025-04-17,Long Spread,CIPLA,PFC,1370.064453125,1499.18505859375,385.6750183105469,413.6451416015625,1.4855242655490575,-0.013489776334762157,-0.018249776334762158,10,CIPLA-PFC,3.169078499835387
2025-08-28,2025-09-23,Short Spread,CIPLA,PFC,1580.300048828125,1527.0999755859375,377.89447021484375,408.7298583984375,1.4855242655490575,0.1548801723110243,0.1501201723110243,26,CIPLA-PFC,3.3191986721464115
2025-10-20,2025-10-31,Short Spread,CIPLA,PFC,1639.0999755859375,1501.300048828125,393.9308776855469,399.1773376464844,1.4855242655490575,0.10385502910118359,0.09909502910118359,11,CIPLA-PFC,3.418293701247595
2025-01-16,2025-02-13,Long Spread,CIPLA,ONGC,1428.2430419921875,1456.5902099609375,250.5538024902344,228.1312255859375,3.5646150279459023,0.3388523358338508,0.33409233583385084,28,CIPLA-ONGC,3.752386037081446
2025-08-22,2025-09-25,Short Spread,CIPLA,ONGC,1592.800048828125,1509.699951171875,229.43234252929688,233.9374084472656,3.5646150279459023,0.1221660659824374,0.1174060659824374,34,CIPLA-ONGC,3.869792103063883
2025-10-20,2025-10-30,Short Spread,CIPLA,ONGC,1639.0999755859375,1540.0999755859375,242.79046630859372,248.4419708251953,3.5646150279459023,0.14337358430631583,0.13861358430631582,10,CIPLA-ONGC,4.008405687370199
2025-03-28,2025-04-24,Long Spread,CIPLA,NTPC,1426.9566650390625,1535.29931640625,351.0355834960937,356.53277587890625,2.321309245755565,0.03957413893705198,0.03481413893705198,27,CIPLA-NTPC,4.043219826307251
2025-08-25,2025-09-23,Short Spread,CIPLA,NTPC,1601.199951171875,1527.0999755859375,331.64813232421875,340.11236572265625,2.321309245755565,0.10552160080906385,0.10076160080906385,29,CIPLA-NTPC,4.143981427116315
2025-10-20,2025-10-30,Short Spread,CIPLA,NTPC,1639.0999755859375,1540.0999755859375,339.0711975097656,342.2442321777344,2.321309245755565,0.08212185609870402,0.07736185609870402,10,CIPLA-NTPC,4.221343283215019
